year,quarter,period_end,region_code,org_code,org_name,sector,available_beds,occupied_beds,occupancy_rate
2025-26,Q2,September,Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,General & Acute,623.0652173913044,619.6521739130435,99.45221729876836
2025-26,Q2,September,Y60,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,General & Acute,260.9891304347826,206.1413043478261,78.98463204364667
2025-26,Q2,September,Y61,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,General & Acute,87.0,69.6304347826087,80.03498250874563
2025-26,Q2,September,Y63,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,General & Acute,45.51086956521739,28.282608695652176,62.144733699546215
2025-26,Q3,December,Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,General & Acute,2066.771739130435,1842.0326086956522,89.12607879332923
2025-26,Q3,December,Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,General & Acute,1110.9347826086957,965.6847826086956,86.92542512181281
2025-26,Q3,December,Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,General & Acute,1057.695652173913,968.9891304347826,91.61322810046451
2025-26,Q3,December,Y60,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,General & Acute,39.0,35.90217391304348,92.05685618729098
2025-26,Q3,December,Y59,R1F,ISLE OF WIGHT NHS TRUST,General & Acute,274.3804347826087,262.7282608695652,95.75327813651309
2025-26,Q3,December,Y56,R1H,BARTS HEALTH NHS TRUST,General & Acute,1948.1304347826087,1814.7826086956522,93.15508737474055
2025-26,Q3,December,Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,General & Acute,1024.7282608695652,996.7282608695652,97.26756828427473
2025-26,Q3,December,Y61,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,General & Acute,87.0,69.3695652173913,79.7351324337831
